Store_ID,Product_ID,Stock_On_Hand,Inventory_Cost_Value,Inventory_Retail_Value,Out_of_Stock_Flag,Recent_90D_Units,Avg_Daily_Units,Days_of_Inventory
3,3,35,69.65,139.65,0,270,3.0,11.7
3,6,21,146.79,314.79,0,175,1.94,10.8
3,7,8,95.92,127.92,0,53,0.59,13.6
3,8,44,175.56,307.56,0,249,2.77,15.9
3,9,4,39.96,43.96,0,226,2.51,1.6
3,10,54,593.46,809.46,0,36,0.4,135.0
3,11,13,142.87,272.87,0,14,0.16,83.6
3,12,4,35.96,47.96,0,15,0.17,24.0
3,13,8,119.92,167.92,0,32,0.36,22.5
3,14,4,23.96,43.96,0,123,1.37,2.9
3,15,0,0.0,0.0,1,98,1.09,0.0
3,17,1,13.99,19.99,0,24,0.27,3.8
3,18,52,1819.48,2079.48,0,20,0.22,234.0
3,19,33,461.67,527.67,0,243,2.7,12.2
3,21,3,20.97,29.97,0,23,0.26,11.7
3,23,13,64.87,129.87,0,24,0.27,48.8
3,24,15,224.85,299.84999999999997,0,72,0.8,18.8
3,25,44,87.56,131.56,0,266,2.96,14.9
3,26,13,272.87,324.87,0,11,0.12,106.4
3,27,23,91.77000000000001,114.77000000000001,0,52,0.58,39.8
3,28,10,39.900000000000006,109.9,0,61,0.68,14.8
3,29,0,0.0,0.0,1,23,0.26,0.0
3,30,43,773.5699999999999,859.5699999999999,0,120,1.33,32.2
3,31,29,231.71,260.71,0,80,0.89,32.6
3,32,4,47.96,59.96,0,0,0.0,
3,33,4,43.96,51.96,0,15,0.17,24.0
3,34,7,146.92999999999998,181.92999999999998,0,28,0.31,22.5
4,1,2,19.98,31.98,0,60,0.67,3.0
4,2,18,179.82,233.82,0,39,0.43,41.5
4,3,6,11.94,23.94,0,239,2.66,2.3
4,4,2,19.98,25.98,0,72,0.8,2.5
4,5,14,111.86,139.86,0,35,0.39,36.0
4,6,44,307.56,659.5600000000001,0,372,4.13,10.6
4,7,9,107.91,143.91,0,73,0.81,11.1
4,8,15,59.85,104.85000000000001,0,282,3.13,4.8
4,9,27,269.73,296.73,0,188,2.09,12.9
4,10,8,87.92,119.92,0,95,1.06,7.6
4,11,3,32.97,62.97,0,38,0.42,7.1
4,12,7,62.93,83.93,0,82,0.91,7.7
4,13,4,59.96,83.96,0,62,0.69,5.8
4,14,4,23.96,43.96,0,88,0.98,4.1
4,15,9,35.910000000000004,53.910000000000004,0,63,0.7,12.9
4,16,8,23.92,79.92,0,11,0.12,65.5
4,17,2,27.98,39.98,0,11,0.12,16.4
4,18,17,594.83,679.83,0,199,2.21,7.7
4,19,2,27.98,31.98,0,391,4.34,0.5
4,20,13,116.87,324.87,0,53,0.59,22.1
4,21,24,167.76,239.76,0,129,1.43,16.7
4,22,5,69.95,99.94999999999999,0,26,0.29,17.3
4,23,26,129.74,259.74,0,74,0.82,31.6
4,24,20,299.8,399.79999999999995,0,89,0.99,20.2
4,25,18,35.82,53.82000000000001,0,529,5.88,3.1
4,26,10,209.89999999999998,249.89999999999998,0,5,0.06,180.0
4,27,19,75.81,94.81,0,59,0.66,29.0
4,28,6,23.94,65.94,0,55,0.61,9.8
4,29,20,179.8,399.79999999999995,0,50,0.56,36.0
4,30,28,503.71999999999997,559.7199999999999,0,115,1.28,21.9
4,31,35,279.65000000000003,314.65000000000003,0,84,0.93,37.5
4,32,6,71.94,89.94,0,37,0.41,14.6
4,33,2,21.98,25.98,0,0,0.0,
4,34,0,0.0,0.0,1,31,0.34,0.0
4,35,4,15.96,31.96,0,33,0.37,10.9
5,1,8,79.92,127.92,0,41,0.46,17.6
5,2,14,139.86,181.86,0,26,0.29,48.5
5,3,3,5.97,11.97,0,223,2.48,1.2
5,6,12,83.88,179.88,0,131,1.46,8.2
5,7,30,359.7,479.7,0,71,0.79,38.0
5,8,27,107.73,188.73000000000002,0,172,1.91,14.1
5,9,31,309.69,340.69,0,107,1.19,26.1
5,10,39,428.61,584.61,0,129,1.43,27.2
5,11,0,0.0,0.0,1,46,0.51,0.0
5,12,0,0.0,0.0,1,52,0.58,0.0
5,13,17,254.83,356.83,0,38,0.42,40.3
5,14,14,83.86,153.86,0,75,0.83,16.8
5,15,0,0.0,0.0,1,61,0.68,0.0
5,17,7,97.93,139.92999999999998,0,82,0.91,7.7
5,18,9,314.91,359.91,0,124,1.38,6.5
5,19,18,251.82,287.82,0,203,2.26,8.0
5,21,0,0.0,0.0,1,277,3.08,0.0
5,23,11,54.89,109.89,0,34,0.38,29.1
5,24,60,899.4,1199.3999999999999,0,28,0.31,192.9
5,25,9,17.91,26.910000000000004,0,329,3.66,2.5
5,26,4,83.96,99.96,0,7,0.08,51.4
5,27,45,179.55,224.55,0,34,0.38,119.1
5,28,0,0.0,0.0,1,34,0.38,0.0
5,29,8,71.92,159.92,0,9,0.1,80.0
5,30,39,701.6099999999999,779.6099999999999,0,91,1.01,38.6
5,31,31,247.69,278.69,0,164,1.82,17.0
5,32,10,119.9,149.9,0,27,0.3,33.3
5,33,17,186.83,220.83,0,12,0.13,127.5
5,34,10,209.89999999999998,259.9,0,9,0.1,100.0
6,1,0,0.0,0.0,1,32,0.36,0.0
6,2,47,469.53000000000003,610.53,0,91,1.01,46.5
6,3,20,39.8,79.80000000000001,0,291,3.23,6.2
6,4,14,139.86,181.86,0,38,0.42,33.2
6,5,8,63.92,79.92,0,0,0.0,
6,6,32,223.68,479.68,0,222,2.47,13.0
6,7,18,215.82,287.82,0,0,0.0,
6,8,50,199.5,349.5,0,331,3.68,13.6
6,9,3,29.97,32.97,0,89,0.99,3.0
6,10,52,571.48,779.48,0,90,1.0,52.0
6,11,20,219.8,419.79999999999995,0,59,0.66,30.5
6,12,2,17.98,23.98,0,27,0.3,6.7
6,13,2,29.98,41.98,0,57,0.63,3.2
6,14,11,65.89,120.89,0,11,0.12,90.0
6,15,11,43.89,65.89,0,51,0.57,19.4
6,16,10,29.900000000000002,99.9,0,0,0.0,
6,17,22,307.78000000000003,439.78,0,0,0.0,
6,18,11,384.89000000000004,439.89000000000004,0,0,0.0,
6,19,39,545.61,623.61,0,265,2.94,13.2
6,20,9,80.91,224.91,0,0,0.0,
6,21,36,251.64000000000001,359.64,0,124,1.38,26.1
6,22,5,69.95,99.94999999999999,0,18,0.2,25.0
6,23,15,74.85000000000001,149.85,0,25,0.28,54.0
6,24,15,224.85,299.84999999999997,0,150,1.67,9.0
6,25,62,123.38,185.38000000000002,0,232,2.58,24.1
6,26,7,146.92999999999998,174.92999999999998,0,0,0.0,
6,27,37,147.63,184.63,0,5,0.06,666.0
6,28,2,7.98,21.98,0,18,0.2,10.0
6,29,10,89.9,199.89999999999998,0,0,0.0,
6,30,67,1205.33,1339.33,0,55,0.61,109.6
6,31,17,135.83,152.83,0,80,0.89,19.1
6,32,7,83.93,104.93,0,0,0.0,
6,33,7,76.93,90.93,0,7,0.08,90.0
6,34,8,167.92,207.92,0,27,0.3,26.7
6,35,3,11.97,23.97,0,18,0.2,15.0
7,1,14,139.86,223.86,0,166,1.84,7.6
7,2,7,69.93,90.93,0,276,3.07,2.3
7,3,10,19.9,39.900000000000006,0,364,4.04,2.5
7,4,17,169.83,220.83,0,76,0.84,20.1
7,5,19,151.81,189.81,0,28,0.31,61.1
7,6,10,69.9,149.9,0,342,3.8,2.6
7,7,1,11.99,15.99,0,153,1.7,0.6
7,8,46,183.54000000000002,321.54,0,296,3.29,14.0
7,9,0,0.0,0.0,1,185,2.06,0.0
7,10,36,395.64,539.64,0,161,1.79,20.1
7,11,7,76.93,146.92999999999998,0,18,0.2,35.0
7,12,38,341.62,455.62,0,44,0.49,77.7
7,13,20,299.8,419.79999999999995,0,31,0.34,58.1
7,14,3,17.97,32.97,0,121,1.34,2.2
7,15,3,11.97,17.97,0,204,2.27,1.3
7,16,6,17.94,59.94,0,19,0.21,28.4
7,17,4,55.96,79.96,0,101,1.12,3.6
7,18,31,1084.69,1239.69,0,263,2.92,10.6
7,19,24,335.76,383.76,0,398,4.42,5.4
7,20,7,62.93,174.92999999999998,0,26,0.29,24.2
7,21,49,342.51,489.51,0,113,1.26,39.0
7,22,8,111.92,159.92,0,24,0.27,30.0
7,23,9,44.910000000000004,89.91,0,23,0.26,35.2
7,24,25,374.75,499.74999999999994,0,84,0.93,26.8
7,25,10,19.9,29.900000000000002,0,728,8.09,1.2
7,26,16,335.84,399.84,0,19,0.21,75.8
7,27,48,191.52,239.52,0,36,0.4,120.0
7,28,0,0.0,0.0,1,116,1.29,0.0
7,29,8,71.92,159.92,0,1,0.01,720.0
7,30,27,485.72999999999996,539.7299999999999,0,170,1.89,14.3
7,31,15,119.85000000000001,134.85,0,113,1.26,11.9
7,32,3,35.97,44.97,0,0,0.0,
7,33,18,197.82,233.82,0,0,0.0,
7,34,2,41.98,51.98,0,45,0.5,4.0
7,35,17,67.83,135.83,0,21,0.23,72.9
8,1,10,99.9,159.9,0,48,0.53,18.8
8,2,11,109.89,142.89000000000001,0,43,0.48,23.0
8,3,8,15.92,31.92,0,113,1.26,6.4
8,4,18,179.82,233.82,0,17,0.19,95.3
8,5,10,79.9,99.9,0,3,0.03,300.0
8,6,12,83.88,179.88,0,63,0.7,17.1
8,7,8,95.92,127.92,0,90,1.0,8.0
8,8,42,167.58,293.58,0,104,1.16,36.3
8,9,0,0.0,0.0,1,278,3.09,0.0
8,10,54,593.46,809.46,0,0,0.0,
8,11,8,87.92,167.92,0,51,0.57,14.1
8,12,4,35.96,47.96,0,44,0.49,8.2
8,13,0,0.0,0.0,1,69,0.77,0.0
8,14,0,0.0,0.0,1,44,0.49,0.0
8,15,0,0.0,0.0,1,36,0.4,0.0
8,16,8,23.92,79.92,0,9,0.1,80.0
8,17,5,69.95,99.94999999999999,0,70,0.78,6.4
8,18,18,629.82,719.82,0,66,0.73,24.5
8,19,11,153.89000000000001,175.89000000000001,0,237,2.63,4.2
8,20,5,44.95,124.94999999999999,0,0,0.0,
8,21,37,258.63,369.63,0,197,2.19,16.9
8,22,13,181.87,259.87,0,32,0.36,36.6
8,23,8,39.92,79.92,0,21,0.23,34.3
8,24,7,104.93,139.92999999999998,0,106,1.18,5.9
8,25,71,141.29,212.29000000000002,0,296,3.29,21.6
8,26,20,419.79999999999995,499.79999999999995,0,25,0.28,72.0
8,27,47,187.53,234.53,0,36,0.4,117.5
8,28,20,79.80000000000001,219.8,0,16,0.18,112.5
8,29,3,26.97,59.97,0,0,0.0,
8,30,13,233.86999999999998,259.87,0,189,2.1,6.2
8,31,27,215.73000000000002,242.73000000000002,0,84,0.93,28.9
8,32,7,83.93,104.93,0,5,0.06,126.0
8,33,17,186.83,220.83,0,52,0.58,29.4
8,34,18,377.82,467.82,0,0,0.0,
8,35,8,31.92,63.92,0,25,0.28,28.8
9,1,15,149.85,239.85,0,168,1.87,8.0
9,2,18,179.82,233.82,0,165,1.83,9.8
9,3,10,19.9,39.900000000000006,0,570,6.33,1.6
9,4,6,59.94,77.94,0,16,0.18,33.8
9,5,3,23.97,29.97,0,51,0.57,5.3
9,6,55,384.45,824.45,0,146,1.62,33.9
9,7,22,263.78000000000003,351.78000000000003,0,82,0.91,24.1
9,8,29,115.71000000000001,202.71,0,229,2.54,11.4
9,9,50,499.5,549.5,0,288,3.2,15.6
9,10,69,758.3100000000001,1034.31,0,45,0.5,138.0
9,11,1,10.99,20.99,0,45,0.5,2.0
9,12,6,53.94,71.94,0,8,0.09,67.5
9,13,19,284.81,398.80999999999995,0,22,0.24,77.7
9,14,11,65.89,120.89,0,77,0.86,12.9
9,15,9,35.910000000000004,53.910000000000004,0,154,1.71,5.3
9,16,5,14.950000000000001,49.95,0,14,0.16,32.1
9,17,8,111.92,159.92,0,53,0.59,13.6
9,18,8,279.92,319.92,0,248,2.76,2.9
9,19,54,755.46,863.46,0,379,4.21,12.8
9,20,4,35.96,99.96,0,8,0.09,45.0
9,21,12,83.88,119.88,0,179,1.99,6.0
9,22,9,125.91,179.91,0,16,0.18,50.6
9,23,31,154.69,309.69,0,89,0.99,31.3
9,24,16,239.84,319.84,0,118,1.31,12.2
9,25,4,7.96,11.96,0,327,3.63,1.1
9,26,21,440.78999999999996,524.79,0,30,0.33,63.0
9,27,29,115.71000000000001,144.71,0,80,0.89,32.6
9,28,9,35.910000000000004,98.91,0,36,0.4,22.5
9,29,8,71.92,159.92,0,0,0.0,
9,30,11,197.89,219.89,0,131,1.46,7.6
9,31,6,47.94,53.94,0,347,3.86,1.6
9,32,3,35.97,44.97,0,0,0.0,
9,33,9,98.91,116.91,0,45,0.5,18.0
9,34,5,104.94999999999999,129.95,0,45,0.5,10.0
9,35,4,15.96,31.96,0,21,0.23,17.1
10,1,5,49.95,79.95,0,94,1.04,4.8
10,2,17,169.83,220.83,0,5,0.06,306.0
10,3,15,29.85,59.85,0,210,2.33,6.4
10,4,17,169.83,220.83,0,44,0.49,34.8
10,5,4,31.96,39.96,0,44,0.49,8.2
10,6,24,167.76,359.76,0,110,1.22,19.6
10,7,13,155.87,207.87,0,47,0.52,24.9
10,8,73,291.27000000000004,510.27000000000004,0,314,3.49,20.9
10,9,10,99.9,109.9,0,240,2.67,3.8
10,10,57,626.4300000000001,854.4300000000001,0,70,0.78,73.3
10,11,9,98.91,188.91,0,40,0.44,20.2
10,12,15,134.85,179.85,0,55,0.61,24.5
10,13,17,254.83,356.83,0,20,0.22,76.5
10,14,4,23.96,43.96,0,73,0.81,4.9
10,15,13,51.870000000000005,77.87,0,30,0.33,39.0
10,16,1,2.99,9.99,0,15,0.17,6.0
10,17,3,41.97,59.97,0,34,0.38,7.9
10,18,17,594.83,679.83,0,168,1.87,9.1
10,19,57,797.4300000000001,911.4300000000001,0,162,1.8,31.7
10,20,4,35.96,99.96,0,0,0.0,
10,21,16,111.84,159.84,0,548,6.09,2.6
10,22,13,181.87,259.87,0,34,0.38,34.4
10,23,9,44.910000000000004,89.91,0,96,1.07,8.4
10,24,20,299.8,399.79999999999995,0,149,1.66,12.1
10,25,68,135.32,203.32000000000002,0,117,1.3,52.3
10,26,9,188.91,224.91,0,23,0.26,35.2
10,27,24,95.76,119.76,0,28,0.31,77.1
10,28,19,75.81,208.81,0,49,0.54,34.9
10,29,12,107.88,239.88,0,18,0.2,60.0
10,30,42,755.5799999999999,839.5799999999999,0,183,2.03,20.7
10,31,7,55.93,62.93,0,120,1.33,5.2
10,32,13,155.87,194.87,0,0,0.0,
10,33,12,131.88,155.88,0,12,0.13,90.0
10,34,16,335.84,415.84,0,22,0.24,65.5
10,35,2,7.98,15.98,0,10,0.11,18.0
11,1,19,189.81,303.81,0,94,1.04,18.2
11,2,18,179.82,233.82,0,47,0.52,34.5
11,3,18,35.82,71.82000000000001,0,402,4.47,4.0
11,6,32,223.68,479.68,0,45,0.5,64.0
11,7,19,227.81,303.81,0,75,0.83,22.8
11,8,64,255.36,447.36,0,102,1.13,56.5
11,9,13,129.87,142.87,0,240,2.67,4.9
11,10,17,186.83,254.83,0,0,0.0,
11,11,9,98.91,188.91,0,34,0.38,23.8
11,12,17,152.83,203.83,0,31,0.34,49.4
11,13,2,29.98,41.98,0,17,0.19,10.6
11,14,18,107.82000000000001,197.82,0,46,0.51,35.2
11,15,7,27.93,41.93,0,60,0.67,10.5
11,17,5,69.95,99.94999999999999,0,39,0.43,11.5
11,18,34,1189.66,1359.66,0,126,1.4,24.3
11,19,51,713.49,815.49,0,282,3.13,16.3
11,21,0,0.0,0.0,1,140,1.56,0.0
11,23,23,114.77000000000001,229.77,0,82,0.91,25.2
11,24,39,584.61,779.6099999999999,0,86,0.96,40.8
11,25,70,139.3,209.3,0,263,2.92,24.0
11,26,10,209.89999999999998,249.89999999999998,0,36,0.4,25.0
11,27,28,111.72,139.72,0,111,1.23,22.7
11,28,11,43.89,120.89,0,85,0.94,11.6
11,29,4,35.96,79.96,0,17,0.19,21.2
11,30,10,179.89999999999998,199.89999999999998,0,23,0.26,39.1
11,31,20,159.8,179.8,0,150,1.67,12.0
11,32,4,47.96,59.96,0,0,0.0,
11,33,6,65.94,77.94,0,8,0.09,67.5
11,34,9,188.91,233.91,0,8,0.09,101.2
12,1,16,159.84,255.84,0,147,1.63,9.8
12,2,16,159.84,207.84,0,113,1.26,12.7
12,3,44,87.56,175.56,0,359,3.99,11.0
12,4,8,79.92,103.92,0,8,0.09,90.0
12,5,17,135.83,169.83,0,46,0.51,33.3
12,6,23,160.77,344.77,0,218,2.42,9.5
12,7,11,131.89000000000001,175.89000000000001,0,68,0.76,14.6
12,8,61,243.39000000000001,426.39,0,117,1.3,46.9
12,9,14,139.86,153.86,0,172,1.91,7.3
12,10,17,186.83,254.83,0,39,0.43,39.2
12,11,8,87.92,167.92,0,25,0.28,28.8
12,12,10,89.9,119.9,0,20,0.22,45.0
12,13,15,224.85,314.84999999999997,0,94,1.04,14.4
12,14,13,77.87,142.87,0,26,0.29,45.0
12,15,11,43.89,65.89,0,96,1.07,10.3
12,16,14,41.86,139.86,0,24,0.27,52.5
12,17,5,69.95,99.94999999999999,0,14,0.16,32.1
12,18,20,699.8000000000001,799.8000000000001,0,157,1.74,11.5
12,19,52,727.48,831.48,0,367,4.08,12.8
12,20,15,134.85,374.84999999999997,0,0,0.0,
12,21,15,104.85000000000001,149.85,0,37,0.41,36.5
12,22,4,55.96,79.96,0,32,0.36,11.2
12,23,15,74.85000000000001,149.85,0,1,0.01,1350.0
12,24,34,509.66,679.66,0,84,0.93,36.4
12,25,23,45.77,68.77000000000001,0,312,3.47,6.6
12,26,20,419.79999999999995,499.79999999999995,0,0,0.0,
12,27,36,143.64000000000001,179.64000000000001,0,25,0.28,129.6
12,28,10,39.900000000000006,109.9,0,24,0.27,37.5
12,29,19,170.81,379.80999999999995,0,0,0.0,
12,30,45,809.55,899.55,0,43,0.48,94.2
12,31,13,103.87,116.87,0,198,2.2,5.9
12,32,9,107.91,134.91,0,0,0.0,
12,33,5,54.95,64.95,0,0,0.0,
12,34,9,188.91,233.91,0,30,0.33,27.0
12,35,9,35.910000000000004,71.91,0,26,0.29,31.2
13,1,0,0.0,0.0,1,111,1.23,0.0
13,2,2,19.98,25.98,0,181,2.01,1.0
13,3,3,5.97,11.97,0,320,3.56,0.8
13,6,14,97.86,209.86,0,310,3.44,4.1
13,7,16,191.84,255.84,0,33,0.37,43.6
13,8,66,263.34000000000003,461.34000000000003,0,228,2.53,26.1
13,9,0,0.0,0.0,1,182,2.02,0.0
13,10,84,923.16,1259.16,0,222,2.47,34.1
13,11,0,0.0,0.0,1,43,0.48,0.0
13,12,0,0.0,0.0,1,110,1.22,0.0
13,13,14,209.86,293.85999999999996,0,14,0.16,90.0
13,14,21,125.79,230.79,0,112,1.24,16.9
13,15,27,107.73,161.73000000000002,0,63,0.7,38.6
13,17,9,125.91,179.91,0,64,0.71,12.7
13,18,47,1644.5300000000002,1879.5300000000002,0,200,2.22,21.2
13,19,49,685.51,783.51,0,277,3.08,15.9
13,21,9,62.910000000000004,89.91,0,82,0.91,9.9
13,23,6,29.94,59.94,0,36,0.4,15.0
13,24,24,359.76,479.76,0,149,1.66,14.5
13,25,37,73.63,110.63000000000001,0,263,2.92,12.7
13,26,2,41.98,49.98,0,0,0.0,
13,27,56,223.44,279.44,0,15,0.17,336.0
13,28,0,0.0,0.0,1,17,0.19,0.0
13,29,3,26.97,59.97,0,0,0.0,
13,30,17,305.83,339.83,0,183,2.03,8.4
13,31,24,191.76,215.76,0,169,1.88,12.8
13,32,7,83.93,104.93,0,0,0.0,
13,33,3,32.97,38.97,0,51,0.57,5.3
13,34,3,62.97,77.97,0,99,1.1,2.7
14,1,21,209.79,335.79,0,71,0.79,26.6
14,2,5,49.95,64.95,0,239,2.66,1.9
14,3,22,43.78,87.78,0,311,3.46,6.4
14,6,18,125.82000000000001,269.82,0,228,2.53,7.1
14,7,13,155.87,207.87,0,52,0.58,22.5
14,8,57,227.43,398.43,0,228,2.53,22.5
14,9,10,99.9,109.9,0,239,2.66,3.8
14,10,32,351.68,479.68,0,54,0.6,53.3
14,11,10,109.9,209.89999999999998,0,135,1.5,6.7
14,12,2,17.98,23.98,0,54,0.6,3.3
14,13,14,209.86,293.85999999999996,0,68,0.76,18.5
14,14,4,23.96,43.96,0,135,1.5,2.7
14,15,0,0.0,0.0,1,29,0.32,0.0
14,17,14,195.86,279.85999999999996,0,37,0.41,34.1
14,18,7,244.93,279.93,0,312,3.47,2.0
14,19,23,321.77,367.77,0,114,1.27,18.2
14,21,0,0.0,0.0,1,209,2.32,0.0
14,23,4,19.96,39.96,0,32,0.36,11.2
14,24,10,149.9,199.89999999999998,0,109,1.21,8.3
14,25,15,29.85,44.85,0,647,7.19,2.1
14,26,3,62.97,74.97,0,0,0.0,
14,27,34,135.66,169.66,0,63,0.7,48.6
14,28,22,87.78,241.78,0,63,0.7,31.4
14,29,0,0.0,0.0,1,43,0.48,0.0
14,30,10,179.89999999999998,199.89999999999998,0,210,2.33,4.3
14,31,5,39.95,44.95,0,62,0.69,7.3
14,32,2,23.98,29.98,0,1,0.01,180.0
14,33,2,21.98,25.98,0,17,0.19,10.6
14,34,8,167.92,207.92,0,29,0.32,24.8
15,1,24,239.76,383.76,0,75,0.83,28.8
15,2,5,49.95,64.95,0,86,0.96,5.2
15,3,3,5.97,11.97,0,256,2.84,1.1
15,6,29,202.71,434.71,0,65,0.72,40.2
15,7,10,119.9,159.9,0,78,0.87,11.5
15,8,40,159.60000000000002,279.6,0,211,2.34,17.1
15,9,26,259.74,285.74,0,218,2.42,10.7
15,10,39,428.61,584.61,0,62,0.69,56.6
15,11,28,307.72,587.7199999999999,0,13,0.14,193.8
15,12,0,0.0,0.0,1,87,0.97,0.0
15,13,13,194.87,272.87,0,78,0.87,15.0
15,14,20,119.80000000000001,219.8,0,53,0.59,34.0
15,15,2,7.98,11.98,0,46,0.51,3.9
15,17,24,335.76,479.76,0,66,0.73,32.7
15,18,34,1189.66,1359.66,0,43,0.48,71.2
15,19,63,881.37,1007.37,0,285,3.17,19.9
15,21,12,83.88,119.88,0,184,2.04,5.9
15,23,18,89.82000000000001,179.82,0,44,0.49,36.8
15,24,35,524.65,699.65,0,107,1.19,29.4
15,25,43,85.57,128.57000000000002,0,232,2.58,16.7
15,26,17,356.83,424.83,0,0,0.0,
15,27,26,103.74000000000001,129.74,0,25,0.28,93.6
15,28,2,7.98,21.98,0,33,0.37,5.5
15,29,13,116.87,259.87,0,29,0.32,40.3
15,30,13,233.86999999999998,259.87,0,83,0.92,14.1
15,31,4,31.96,35.96,0,195,2.17,1.8
15,32,16,191.84,239.84,0,18,0.2,80.0
15,33,8,87.92,103.92,0,26,0.29,27.7
15,34,7,146.92999999999998,181.92999999999998,0,28,0.31,22.5
16,1,13,129.87,207.87,0,41,0.46,28.5
16,2,28,279.72,363.72,0,93,1.03,27.1
16,3,37,73.63,147.63,0,343,3.81,9.7
16,4,7,69.93,90.93,0,7,0.08,90.0
16,5,14,111.86,139.86,0,0,0.0,
16,6,27,188.73000000000002,404.73,0,133,1.48,18.3
16,7,19,227.81,303.81,0,97,1.08,17.6
16,8,18,71.82000000000001,125.82000000000001,0,224,2.49,7.2
16,9,8,79.92,87.92,0,215,2.39,3.3
16,10,43,472.57,644.57,0,8,0.09,483.8
16,11,12,131.88,251.88,0,50,0.56,21.6
16,12,12,107.88,143.88,0,23,0.26,47.0
16,13,5,74.95,104.94999999999999,0,34,0.38,13.2
16,14,19,113.81,208.81,0,28,0.31,61.1
16,15,1,3.99,5.99,0,48,0.53,1.9
16,16,14,41.86,139.86,0,39,0.43,32.3
16,17,14,195.86,279.85999999999996,0,23,0.26,54.8
16,18,27,944.73,1079.73,0,148,1.64,16.4
16,19,29,405.71,463.71,0,257,2.86,10.2
16,20,2,17.98,49.98,0,17,0.19,10.6
16,21,54,377.46000000000004,539.46,0,229,2.54,21.2
16,22,9,125.91,179.91,0,33,0.37,24.5
16,23,2,9.98,19.98,0,39,0.43,4.6
16,24,6,89.94,119.94,0,14,0.16,38.6
16,25,37,73.63,110.63000000000001,0,409,4.54,8.1
